description,amount,type,transaction_date,notes,category_name
"Salário Janeiro",5000.00,RECEITA,2025-01-01,"Salário mensal","Salário"
"Supermercado",350.00,DESPESA,2025-01-02,"Compras da semana","Alimentação"
"Gasolina",200.00,DESPESA,2025-01-03,"Abastecimento","Transporte"
"Freelance Web",800.00,RECEITA,2025-01-05,"Projeto website","Freelance"
"Aluguel",1200.00,DESPESA,2025-01-05,"Aluguel mensal","Moradia"
"Conta de Luz",150.00,DESPESA,2025-01-06,"Energia elétrica","Contas"
"Cinema",45.00,DESPESA,2025-01-07,"Filme com família","Lazer"
"Farmácia",80.00,DESPESA,2025-01-08,"Medicamentos","Saúde"
"Curso Online",120.00,DESPESA,2025-01-09,"Curso de programação","Educação"
"Roupas",250.00,DESPESA,2025-01-10,"Roupas de trabalho","Compras"
"Dividendos",150.00,RECEITA,2025-01-12,"Dividendos de ações","Investimentos"
"Restaurante",85.00,DESPESA,2025-01-13,"Jantar romântico","Alimentação"
"Uber",25.00,DESPESA,2025-01-14,"Corrida para trabalho","Transporte"
"Internet",90.00,DESPESA,2025-01-15,"Internet banda larga","Contas"
"Livros",60.00,DESPESA,2025-01-16,"Livros técnicos","Educação"
"Freelance Design",600.00,RECEITA,2025-01-18,"Logo para empresa","Freelance"
"Supermercado",280.00,DESPESA,2025-01-19,"Compras quinzenais","Alimentação"
"Consulta Médica",180.00,DESPESA,2025-01-20,"Check-up anual","Saúde"
"Shopping",320.00,DESPESA,2025-01-21,"Compras diversas","Compras"
"Combustível",180.00,DESPESA,2025-01-22,"Gasolina","Transporte"
"Streaming",29.90,DESPESA,2025-01-23,"Netflix","Lazer"
"Conta de Água",75.00,DESPESA,2025-01-24,"Água e esgoto","Contas"
"Investimento",500.00,DESPESA,2025-01-25,"Aplicação em CDB","Investimentos"
"Lanche",15.00,DESPESA,2025-01-26,"Lanche da tarde","Alimentação"
"Manutenção Carro",300.00,DESPESA,2025-01-27,"Revisão do carro","Transporte"
"Presente",120.00,DESPESA,2025-01-28,"Presente de aniversário","Compras"
"Freelance App",1200.00,RECEITA,2025-01-30,"Desenvolvimento de app","Freelance"
